id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
1798	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1861	-25.9945	Africa	soil	98619	grassland	16	778	4.12	2017	Eragostis tef	SSU	Illumina	315
1800	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1964	-26.0076	Africa	soil	82849	cropland	16	757	4.89	2017	Zea mays	SSU	Illumina	91
1816	Davison_2015_1GM	NS31/AML2	28.5761	-24.7514	Africa	root	2511	grassland	19.2	631	4.2	2010	Digitaria eriantha	SSU	454Roche	27
1828	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1963	-26.0033	Africa	root	22936	grassland	16	757	4.69	2017	Eragostis tef	SSU	Illumina	1
1838	Correia_2019_1AP	NS31/AML2	34.4106	-18.884	Africa	root	3560	woodland	24.6	988	NA_	2014	Faidherbia albida	SSU	454Roche	12
1839	Vasar_2021_1HW	WANDA/AML2	-61.7447	16.1856	North America	soil	8877	forest	23.6	1761	4.23	2018	NA_	SSU	Illumina	5
1842	Vasar_2021_1HW	WANDA/AML2	29.1986	-2.48083	Africa	soil	76094	forest	16	1658	2.9	2018	NA_	SSU	Illumina	2
1849	Vasar_2021_1HW	WANDA/AML2	55.7161	-21.3692	Africa	soil	112940	forest	22.6	3869	3.72	2018	NA_	SSU	Illumina	118
1866	Jiang_2020_1BX	AMV4.5NF/AMDGR	106.637	23.9925	Asia	rhizosphere soil	63643	cropland	22	1008	4.32	2018	Mangifera indica	SSU	Illumina	1
1870	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1975	-26.0085	Africa	soil	84868	cropland	16	757	4.89	2017	Zea mays	SSU	Illumina	139
1880	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1908	-26.0018	Africa	root	72045	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	2
1925	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.186	-25.9935	Africa	soil	88879	grassland	16	778	4.12	2017	Eragostis tef	SSU	Illumina	31
1932	Vasar_2021_1HW	WANDA/AML2	30.7394	-1.88167	Africa	soil	105356	grassland	20.9	917	6.2	2018	NA_	SSU	Illumina	140
1966	RodriguezEcheverria_2017_6B29	NS31/AML2	34.1835	-19.0193	Africa	soil	7192	woodland	24	1096	4.47	2014	Caesalpinioideae sp.;Brachystegia boehmii;B. spiciformis;Julbernadia globiflora	SSU	454Roche	475
1982	Jiang_2020_1BX	AMV4.5NF/AMDGR	109.493	21.9958	Asia	rhizosphere soil	101270	cropland	23	1699	4.5	2018	Litchi chinensis	SSU	Illumina	46
1993	Morgan_2017_1CJ	NS31/AML2	-87.2068	21.2102	North America	soil	72384	forest	25.7	1213	7.62	2013	Brosimum alicastrum;Vachellia cornigera;Metopium brownei;Ceiba pentandra;Bursera simaruba;Manilkara zapota	SSU	Illumina	1
2005	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.1912	-26.003	Africa	soil	135542	grassland	16	775	4.16	2017	Eragostis tef	SSU	Illumina	8
2022	Ezeokoli_2020_1AW	AML1/AML2 then AMV4.5NF/AMDGR	29.2012	-26.0085	Africa	root	46267	grassland	16.1	738	4.03	2017	Eragostis tef	SSU	Illumina	1
2031	Faggioli_2019_1AX	AMV4.5NF/AMDGR	-64.1857	-31.5606	South America	soil	104761	anthropogenic	17.4	848	6.19	2015	Bidens pilosa	SSU	Illumina	2
