id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
1217	Vasar_2021_1HW	WANDA/AML2	115.424	39.9572	Asia	soil	78738	forest	4.6	600	5.01	2012	NA_	SSU	Illumina	1
1228	Vasar_2021_1HW	WANDA/AML2	-111.564	52.085	North America	soil	51502	grassland	3	402	4.68	2018	NA_	SSU	Illumina	25
1229	Rasmussen_2018_C8E6	NS31/AML2	19.5401	60.2182	Europe	root	94112	grassland	6.3	522	6.5	2015	Plantago lanceolata	SSU	Illumina	2
1273	Rasmussen_2018_C8E6	NS31/AML2	19.9274	60.3468	Europe	soil	70439	grassland	6.2	552	NA_	2015	Plantago lanceolata	SSU	Illumina	262
1275	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.54385	46.0876	Europe	root	79274	grassland	-0.3	886	6.58	2015	Botrychium lunaria	SSU	Illumina	7
1278	Vasar_2021_1HW	WANDA/AML2	23.8008	35.4592	Europe	soil	110641	shrubland	18.1	744	6.2	2009	NA_	SSU	Illumina	1011
1286	Vasar_2021_1HW	WANDA/AML2	-16.3178	28.5317	Europe	soil	66140	forest	16.7	591	4.98	2017	NA_	SSU	Illumina	98
1394	Rasmussen_2018_C8E6	NS31/AML2	20.1642	60.074	Europe	soil	60251	grassland	6.3	517	6.2	2015	Plantago lanceolata	SSU	Illumina	4
1413	Xiang_2014_BD5B	AML1/AML2 then NS31/AM1	114.326	41.0846	Asia	soil	6601	cropland	3.5	449	7.3	2010	Zea mays	SSU	454Roche	9
1436	Vasar_2021_1HW	WANDA/AML2	16.4597	56.5389	Europe	soil	74859	grassland	7.7	538	6.5	2010	NA_	SSU	Illumina	63
1456	Vasar_2021_1HW	WANDA/AML2	103.215	34.7472	Asia	soil	106699	grassland	3.4	428	7.5	2014	NA_	SSU	Illumina	364
1485	Rasmussen_2018_C8E6	NS31/AML2	20.2685	60.1407	Europe	root	219091	grassland	6.2	548	5.7	2015	Plantago lanceolata	SSU	Illumina	1
1564	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.48378	46.2044	Europe	root	74067	grassland	-0.7	1044	5.29	2015	Botrychium lunaria	SSU	Illumina	10
1566	Vasar_2021_1HW	WANDA/AML2	7.55	60.6089	Europe	soil	34873	tundra	-1.7	1066	4.87	2016	NA_	SSU	Illumina	165
1586	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.53918	46.0885	Europe	root	57040	grassland	0.6	844	5.54	2015	Botrychium lunaria	SSU	Illumina	3
1596	Rasmussen_2018_C8E6	NS31/AML2	20.2686	60.1406	Europe	root	62908	grassland	6.2	548	5.1	2015	Plantago lanceolata	SSU	Illumina	3
1602	Rasmussen_2018_C8E6	NS31/AML2	19.7889	60.3651	Europe	root	57707	grassland	6.2	549	6.8	2015	Plantago lanceolata	SSU	Illumina	8
1625	Rasmussen_2018_C8E6	NS31/AML2	19.8006	60.3346	Europe	root	73546	grassland	6.1	563	4.5	2015	Plantago lanceolata	SSU	Illumina	2
1678	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.5438	46.0872	Europe	root	36877	grassland	-0.3	886	6.62	2015	Botrychium lunaria	SSU	Illumina	4
1681	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.54401	46.0876	Europe	root	50419	grassland	-0.3	886	6.79	2015	Botrychium lunaria	SSU	Illumina	1
1688	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.54379	46.0874	Europe	root	50422	grassland	-0.3	886	6.41	2015	Botrychium lunaria	SSU	Illumina	2
1690	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.54386	46.0876	Europe	root	53196	grassland	-0.3	886	6.63	2015	Botrychium lunaria	SSU	Illumina	2
1692	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.48502	46.1963	Europe	root	87050	grassland	-0.9	1041	6.41	2015	Botrychium lunaria	SSU	Illumina	3
1694	Sandoz_2020_1CV	AMV4.5NF/AMDGR	7.485	46.1963	Europe	root	85623	grassland	-0.9	1041	5.94	2015	Botrychium lunaria	SSU	Illumina	553
1725	Vasar_2021_1HW	WANDA/AML2	46.99	35.4283	Asia	soil	19670	desert	12.8	352	7.15	1970	NA_	SSU	Illumina	3
1775	Vasar_2021_1HW	WANDA/AML2	26.6647	58.3608	Europe	soil	26300	grassland	5.6	644	5.61	2014	NA_	SSU	Illumina	3
1845	Rasmussen_2018_C8E6	NS31/AML2	19.9281	60.3465	Europe	soil	125688	grassland	6.2	552	NA_	2015	Plantago lanceolata	SSU	Illumina	689
1881	Rasmussen_2018_C8E6	NS31/AML2	19.9281	60.3465	Europe	root	26459	grassland	6.2	552	NA_	2015	Plantago lanceolata	SSU	Illumina	25
1898	Rasmussen_2018_C8E6	NS31/AML2	19.8005	60.3343	Europe	root	72266	grassland	6.1	563	5.3	2015	Plantago lanceolata	SSU	Illumina	2
1902	Rasmussen_2018_C8E6	NS31/AML2	20.2685	60.1407	Europe	root	68984	grassland	6.2	548	5.7	2015	Plantago lanceolata	SSU	Illumina	8
