id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
466	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3481	50.0583	Europe	root	19133	grassland	8.7	467	6.76	2018	Daucus carota	ITS2	Illumina	6
467	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3542	50.0572	Europe	root	15638	grassland	8.7	485	7.25	2018	Arrhenatherum elatius	ITS2	Illumina	90
470	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2792	50.0853	Europe	root	19834	grassland	8.4	507	7.1	2018	Echinops sphaerocephalus	ITS2	Illumina	31
473	Rezacova_2019_1CU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4 	14.267	49.9494	Europe	soil	23014	grassland	8.6	506	7.24	2013	NA_	ITS2	Illumina	7
515	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3547	50.0572	Europe	root	13455	grassland	8.7	485	6.29	2018	Echinops sphaerocephalus	ITS2	Illumina	1
518	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.2897	50.115	Europe	root	29554	grassland	8.5	509	6.33	2018	Achillea millefolium	ITS2	Illumina	19
531	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	16.96	49.7357	Europe	root	19199	grassland	9.1	585	7.51	2018	Artemisia vulgaris	ITS2	Illumina	320
546	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	1771	grassland	10.7	612	7.96	2011	Centaurea stoebe	ITS2	454Roche	6
599	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	17.0863	49.5288	Europe	root	11856	grassland	9.1	617	7.66	2018	Daucus carota	ITS2	Illumina	1
639	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3547	50.0572	Europe	root	12054	grassland	8.7	485	6.29	2018	Achillea millefolium	ITS2	Illumina	1
641	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.8917	50.2486	Europe	root	17631	grassland	9.2	588	7.38	2018	Erigeron annuus	ITS2	Illumina	3
666	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3697	50.1393	Europe	root	20777	grassland	8.9	464	7.09	2018	Artemisia vulgaris	ITS2	Illumina	23
736	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	245	grassland	10.7	612	7.42	2011	Centaurea stoebe	ITS2	454Roche	6
737	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	219	grassland	10.7	612	7.94	2011	Centaurea stoebe	ITS2	454Roche	16
773	Rezacova_2021_1HU	SSUmAf1+2/LSUmAr1 to 4 then 5.8Snew/ITS4	14.3336	49.9992	Europe	root	15297	grassland	9	460	7.59	2018	Daucus carota	ITS2	Illumina	1
777	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	156	grassland	10.7	612	7.03	2011	Centaurea stoebe	ITS2	454Roche	5
858	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	153	grassland	10.7	612	7.01	2011	Centaurea stoebe	ITS2	454Roche	5
870	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	46	grassland	10.7	612	7.13	2011	Centaurea stoebe	ITS2	454Roche	1
878	Sudova_2018_1DJ	SSUmAf1+2/LSUmAr1 to 4 then ITS1/ITS4 	16.974	48.201	Europe	root	45	grassland	10.7	612	7.3	2011	Centaurea stoebe	ITS2	454Roche	2
7799	Gomes_2018_1BG	LR1/FLR2 then 250f/FLR4	-158.097	21.415	North America	soil	29016	forest	20	1223	5.2	2014	Metrosideros polymorpha;Acacia koa	LSU	Illumina	672
7800	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32948	50.8769	Europe	soil	20811	cropland	10.5	662	7.8	2016	Medicago sativa	LSU	Illumina	1
